stop_name,stop_lat,stop_lon,
Van Cortlandt Park - 242 St,40.889248000000000,-73.898583000000000,
238 St,40.884667000000000,-73.900869999999900,
231 St,40.878855999999900,-73.904833999999900,
Wakefield - 241 St,40.903125000000000,-73.850619999999900,
Nereid Av,40.898378999999900,-73.854376000000000,
233 St,40.893192999999900,-73.857472999999900,
225 St,40.888021999999900,-73.860341000000000,
219 St,40.883895000000000,-73.862633000000000,
Gun Hill Rd,40.877850000000000,-73.866256000000000,
Burke Av,40.871355999999900,-73.867164000000000,
Allerton Av,40.865462000000000,-73.867351999999900,
Pelham Pkwy,40.857191999999900,-73.867615000000000,
Bronx Park East,40.848828000000000,-73.868456999999900,
E 180 St,40.841894000000000,-73.873487999999900,
West Farms Sq - E Tremont Av,40.840295000000000,-73.880049000000000,
174 St,40.837288000000000,-73.887733999999900,
Freeman St,40.829993000000000,-73.891864999999900,
Simpson St,40.824072999999900,-73.893063999999900,
Intervale Av,40.822181000000000,-73.896736000000000,
Prospect Av,40.819584999999900,-73.901769999999900,
Jackson Av,40.816490000000000,-73.907806999999900,
3 Av - 149 St,40.816109000000000,-73.917756999999900,
149 St - Grand Concourse,40.818410000000000,-73.926718000000000,
Woodlawn,40.886037000000000,-73.878750999999900,
Mosholu Pkwy,40.879750000000000,-73.884655000000000,
Bedford Park Blvd - Lehman College,40.873412000000000,-73.890063999999900,
Kingsbridge Rd,40.867759999999900,-73.897173999999900,
Fordham Rd,40.862803000000000,-73.901033999999900,
183 St,40.858407000000000,-73.903879000000000,
Burnside Av,40.853453000000000,-73.907684000000000,
176 St,40.848480000000000,-73.911794000000000,
Mt Eden Av,40.844434000000000,-73.914684999999900,
170 St,40.840074999999900,-73.917791000000000,
167 St,40.835537000000000,-73.921400000000000,
161 St - Yankee Stadium,40.827993999999900,-73.925831000000000,
149 St - Grand Concourse,40.818375000000000,-73.927351000000000,
138 St - Grand Concourse,40.813223999999900,-73.929849000000000,
Eastchester - Dyre Av,40.888300000000000,-73.830833999999900,
Baychester Av,40.878663000000000,-73.838591000000000,
Gun Hill Rd,40.869526000000000,-73.846384000000000,
Pelham Pkwy,40.858984999999900,-73.855358999999900,
Morris Park,40.854364000000000,-73.860495000000000,
Pelham Bay Park,40.852462000000000,-73.828120999999900,
Buhre Av,40.846809999999900,-73.832568999999900,
Middletown Rd,40.843862999999900,-73.836321999999900,
Westchester Sq - E Tremont Av,40.839891999999900,-73.842951999999900,
Zerega Av,40.836488000000000,-73.847036000000000,
Castle Hill Av,40.834254999999900,-73.851221999999900,
Parkchester,40.833226000000000,-73.860816000000000,
St Lawrence Av,40.831509000000000,-73.867618000000000,
Morrison Av- Sound View,40.829521000000000,-73.874516000000000,
Elder Av,40.828583999999900,-73.879159000000000,
Whitlock Av,40.826524999999900,-73.886282999999900,
Hunts Point Av,40.820948000000000,-73.890548999999900,
Longwood Av,40.816103999999900,-73.896434999999900,
E 149 St,40.812117999999900,-73.904098000000000,
E 143 St - St Mary's St,40.808719000000000,-73.907657000000000,
Cypress Av,40.805368000000000,-73.914042000000000,
Brook Av,40.807565999999900,-73.919240000000000,
3 Av - 138 St,40.810476000000000,-73.926137999999900,
Norwood - 205 St,40.874811000000000,-73.878855000000000,
Bedford Park Blvd,40.873244000000000,-73.887138000000000,
Kingsbridge Rd,40.866978000000000,-73.893508999999900,
Fordham Rd,40.861296000000000,-73.897749000000000,
182-183 Sts,40.856093000000000,-73.900740999999900,
Tremont Av,40.850409999999900,-73.905226999999900,
174-175 Sts,40.845900000000000,-73.910135999999900,
170 St,40.839306000000000,-73.913399999999900,
167 St,40.833770999999900,-73.918440000000000,
161 St - Yankee Stadium,40.827905000000000,-73.925651000000000,
Marble Hill - 225 St,40.874561000000000,-73.909831000000000,
215 St,40.869444000000000,-73.915278999999900,
207 St,40.864621000000000,-73.918821999999900,
Dyckman St,40.860531000000000,-73.925535999999900,
191 St,40.855224999999900,-73.929411999999900,
